iter	Passed	Remaining
0	67	134518
1	136	136767
2	205	136867
3	268	134158
4	333	132990
5	397	132000
6	476	135633
7	542	135033
8	607	134295
9	670	133385
10	735	133081
11	800	132567
12	864	132086
13	927	131554
14	992	131352
15	1050	130251
16	1114	129986
17	1174	129309
18	1239	129205
19	1304	129108
20	1368	128968
21	1428	128465
22	1493	128373
23	1552	127815
24	1614	127571
25	1678	127464
26	1739	127123
27	1801	126888
28	1861	126521
29	1923	126317
30	1982	125908
31	2039	125437
32	2100	125215
33	2161	124999
34	2220	124685
35	2283	124556
36	2348	124623
37	2407	124313
38	2465	123962
39	2526	123813
40	2581	123363
41	2641	123127
42	2697	122748
43	2761	122770
44	2822	122642
45	2884	122509
46	2944	122338
47	3002	122110
48	3058	121771
49	3118	121606
50	3177	121419
51	3247	121670
52	3311	121662
53	3374	121606
54	3439	121643
55	3500	121530
56	3561	121415
57	3617	121130
58	3679	121041
59	3744	121061
60	3804	120927
61	3860	120657
62	3920	120547
63	3977	120323
64	4037	120197
65	4096	120031
66	4162	120096
67	4222	119960
68	4283	119863
69	4340	119660
70	4399	119536
71	4457	119371
72	4515	119186
73	4573	119034
74	4635	118974
75	4696	118886
76	4755	118761
77	4813	118602
78	4871	118469
79	4929	118313
80	4986	118142
81	5046	118032
82	5106	117935
83	5165	117830
84	5224	117704
85	5281	117549
86	5341	117455
87	5396	117255
88	5454	117119
89	5512	116987
90	5574	116952
91	5634	116857
92	5692	116720
93	5747	116536
94	5803	116376
95	5856	116163
96	5914	116039
97	5970	115882
98	6029	115774
99	6087	115671
100	6145	115551
101	6202	115419
102	6259	115287
103	6313	115101
104	6370	114974
105	6421	114746
106	6490	114823
107	6551	114780
108	6608	114645
109	6663	114487
110	6721	114382
111	6776	114240
112	6836	114169
113	6889	113973
114	6949	113908
115	7007	113811
116	7065	113705
117	7122	113592
118	7181	113512
119	7236	113369
120	7293	113263
121	7349	113141
122	7409	113069
123	7469	113010
124	7526	112902
125	7579	112725
126	7636	112620
127	7690	112475
128	7748	112385
129	7804	112258
130	7859	112130
131	7915	112011
132	7979	112013
133	8035	111901
134	8091	111782
135	8146	111649
136	8202	111542
137	8258	111426
138	8314	111316
139	8371	111221
140	8432	111172
141	8490	111093
142	8545	110974
143	8601	110868
144	8660	110796
145	8714	110665
146	8773	110598
147	8826	110453
148	8885	110382
149	8944	110316
150	8997	110177
151	9054	110083
152	9107	109948
153	9164	109857
154	9224	109803
155	9276	109657
156	9336	109595
157	9398	109564
158	9452	109448
159	9505	109314
160	9555	109148
161	9612	109055
162	9667	108947
163	9726	108885
164	9782	108791
165	9844	108760
166	9901	108683
167	9961	108627
168	10016	108516
169	10073	108438
170	10129	108341
171	10185	108253
172	10243	108180
